titles,subtitles,links
My heartbeat was touching 200 in the last over: Varun Chakravarthy after heroics vs Sunrisers Hyderabad,"KKR earned their fourth victory of the season and are now on eight points, while SRH, who remained stranded on six points, suffered a huge body blow to their chances of making the playoffs.",https://indianexpress.com/article/sports/ipl/my-heartbeat-was-touching-200-in-the-last-over-varun-chakravarthy-after-heroics-vs-sunrisers-hyderabad-8592301/
RR owner Manoj Badale says Test cricket ‘could work’ if played in same short window each year,"Badale also said that he believes that in the next three to five years ""there are a number of choices that the administrators are going to make that are going to be really game-defining"".",https://indianexpress.com/article/sports/cricket/rr-owner-manoj-badale-says-test-cricket-could-work-if-played-in-same-short-window-each-year/
"IPL 2023 emotional rollercoaster: Varun Chakravarthy, an around the stumps hero, Venkatesh Iyer’s travails and Shardul Thakur’s Midas touch",Kolkata Knight Riders defeat Sunrisers Hyderabad by 5 runs.,https://indianexpress.com/article/sports/ipl/ipl-2023-srh-vs-kkr-emotional-rollercoaster-8592284/
Earthquake bamboo bars and weighted jackets: Inside weightlifter Mirabai Chanu’s backbreaking workout routine,"There was a time when weightlifter Mirabai Chanu's training routine was simple: warm up karo aur weight uthao. But since 2019, the hours of backbreaking work she does in the gym includes using some nifty innovations like the earthquake bamboo bar.",https://indianexpress.com/article/sports/motor-sport/earthquake-bamboo-bars-weighted-jackets-inside-weightlifter-mirabai-chanus-backbreaking-workout-routine-8591936/
‘Take back our medals … we are willing to give our lives also’: Protesting wrestlers allege physical abuse from police,The protestors Vinesh Phogat and Bajrang Punia also address the presence of political parties like Congress and AAP at Jantar Mantar,https://indianexpress.com/article/sports/sport-others/take-back-our-medals-willing-to-give-our-lives-wrestlers-protest-police-8592122/
RR vs GT Live Streaming Details: When and where to watch Rajasthan Royals vs Gujarat Titans,"RR vs GT IPL 2023 Live Streaming: Sanju Samson's Rajasthan Royal will face the Hardik Pandya's defending champion Gujarat Titans at Sawai Man Singh Stadium, Jaipur.",https://indianexpress.com/article/sports/ipl/rr-vs-gt-live-streaming-details-when-and-where-to-watch-8591710/
MS Dhoni’s CSK unwind before Chennai vs Mumbai in IPL 2023,Chennai Super Kings face Mumbai Indians in their next IPL 2023 encounter.,https://indianexpress.com/article/sports/ipl/ms-dhonis-csk-unwind-before-chennai-vs-mumbai-in-ipl-2023-8592093/
‘Umpire told me it’s his discretion’: Ashwin explains what happened with the controversial wide call against Glenn Maxwell,Ashwin was seen debating with Gough as the third umpire consulted replays. Ashwin also had something to say about the new rule of fielding teams allowed to refer wide and no-balls.,https://indianexpress.com/article/sports/ipl/ashwin-explains-what-happened-with-the-controversial-wide-call-against-maxwell-8591946/
"SC verdict not a setback, protest will continue: Wrestlers","The wrestlers have been sitting on protest since April 23, demanding the arrest of Wrestling Federation of India (WFI) president Brij Bhushan alleging that he has sexually harassed seven female grapplers, including one minor.",https://indianexpress.com/article/sports/wwe-wrestling/sc-verdict-not-a-setback-protest-will-continue-wrestlers-8591732/
"SRH vs KKR, IPL 2023 Highlights: Kolkata Knight Riders defeat Sunrisers Hyderabad by 5 runs",SRH vs KKR Highlights: Varun Chakaravarthy bowled a brilliant 20th over to eke out a welcome win for his team.,https://indianexpress.com/article/sports/cricket/srh-vs-kkr-live-score-ipl-2023-todays-match-sunrisers-hyderabad-vs-kolkata-knight-riders-latest-scorecard-8591588/
Cristiano Ronaldo’s Saudi title hopes revived after leaders lose,Cristiano Ronaldo has scored 12 league goals since joining Al-Nassr in January.,https://indianexpress.com/article/sports/football/cristiano-ronaldo-saudi-title-hopes-revived-after-leaders-lose-8591552/
Nick Kyrgios says not sleeping much after mother allegedly held at gunpoint,"""Last couple days has been rough ... haven't slept much and battling a little,"" Kyrgios wrote on Instagram.",https://indianexpress.com/article/sports/tennis/nick-kyrgios-says-not-sleeping-much-after-mother-allegedly-held-at-gunpoint-8591425/
‘Doha is famous for 90m throws’: Neeraj Chopra hints at big throw in season-opening Doha Diamond League,"The Olympic champion opens his season on Friday at the Doha Diamond League against the top guns Jakub Vadlejch, Anderson Peters, Julius Yego, Keshorn Walcott, and Julian Weber.",https://indianexpress.com/article/sports/sport-others/doha-is-famous-for-90m-throws-javelin-thrower-neeraj-chopra-hints-8591384/
Inconsistent Rajasthan Royals to challenge Gujarat Titans for top spot,"Gujarat Titans are perched atop the points table with 12 points despite their five-run loss to wooden spooners Delhi Capitals, while the Royals are on the fourth spot and have 10 points.",https://indianexpress.com/article/sports/ipl/inconsistent-rajasthan-royals-to-challenge-gujarat-titans-for-top-spot-8590985/
"Wrestlers Protest Live Updates: Geeta Phogat claims taken into custody before reaching Jantar Mantar, slams Delhi police",Wrestlers Protest in Delhi Live Updates: The latest confrontation seemed to have started when the wrestlers tried to bring beds to the protest site.,https://indianexpress.com/article/sports/sport-others/india-women-wrestlers-protest-against-wfi-resident-brij-bhushan-sharan-singh-at-jantar-mantar-new-delhi-8591177/
"2023 Wanda Diamond League, Live Streaming: When and where to watch Neeraj Chopra in action?","2023 Wanda Diamond League, Neeraj Chopra Javelin Throw event Live Streaming: For the first time, Chopra will be seen in action since his sensational 88.44m throw that clinched the 2022 Diamond Trophy in Zurich.",https://indianexpress.com/article/sports/sport-others/2023-wanda-diamond-league-live-streaming-when-and-where-to-watch-neeraj-chopra-in-action-8591202/
‘Don’t let the IPL lifestyle affect you’: Sachin Tendulkar’s advice to young Kuldeep Yadav,Kuldeep also shared India skipper Rohit Sharma’s advice when he was undergoing rehabilitation at the NCA in Bengaluru.,https://indianexpress.com/article/sports/cricket/dont-let-the-ipl-lifestyle-affect-you-sachin-tendulkars-advice-to-young-kuldeep-yadav-8591126/
‘Every youngster should learn how to chase 200 runs from Suryakumar Yadav’,"It was a vital win for slow-starting Mumbai, which now has 10 points from nine games and has climbed up to sixth in the IPL table.",https://indianexpress.com/article/sports/ipl/every-youngster-should-learn-how-to-chase-200-runs-from-suryakumar-yadav-suresh-raina-8591046/
"Nothing to lose, will focus on one match at a time, says KKR skipper Nitish Rana ahead of SRH game","""How will we qualify and only if we take one each game individually then the focus will be better in the current match rather than thinking what's next”, said Nitish Rana.",https://indianexpress.com/article/sports/ipl/nothing-to-lose-will-focus-on-one-match-at-a-time-says-nitish-rana-8590955/
"Pakistan beat New Zealand in 3rd ODI, take unassailable 3-0 series lead","Left-arm spinner Nawaz, who dried up runs in the middle overs, injured his left index finger when he tried to hold onto a return catch of Mitchell and was brought to the hospital.",https://indianexpress.com/article/sports/cricket/pakistan-beat-new-zealand-in-3rd-odi-clinches-series-8590920/
